Shark ID,Commn Name,Species Name,TagType,Name,TagDay,TagMonth,TagYear,Total Length,Sex,Maturity,Track Color,Active?
106744,Blue shark,Prionace glauca,SPOT,Don,27,8,2016,277,M,adult,Blue,N
,,,,,,,,,,,,
106745,Blue shark,Prionace glauca,SPOT,Vader,28,8,2016,270,M,adult,Blue,N
,,,,,,,,,,,,
106746,Blue shark,Prionace glauca,SPOT,Ciona,28,8,2016,262,M,adult,Blue,N
,,,,,,,,,,,,
106747,Blue shark,Prionace glauca,SPOT,Cubswin,18,10,2016,244,M,adult,Blue,N
,,,,,,,,,,,,
106748,Blue shark,Prionace glauca,SPOT,Mahkato,27,8,2016,245,M,adult,Blue,N
,,,,,,,,,,,,
141261,Blue shark,Prionace glauca,SPOT,Johnny,13,10,2015,254,M,adult,Blue,N
,,,,,,,,,,,,
141262,Blue shark,Prionace glauca,SPOT,Warne,28,8,2016,220.5,M,adult,Blue,N
,,,,,,,,,,,,
141263,Blue shark,Prionace glauca,SPOT,Machaca,25,8,2016,248,M,adult,Blue,N
,,,,,,,,,,,,
141264,Blue shark,Prionace glauca,SPOT,Roland,21,10,2015,254,M,adult,Blue,N
,,,,,,,,,,,,
141265,Blue shark,Prionace glauca,SPOT,Sawtooth,27,8,2016,241,M,adult,Blue,N
,,,,,,,,,,,,
141266,Blue shark,Prionace glauca,SPOT,Buzz,10,9,2016,254,M,adult,Blue,N
,,,,,,,,,,,,
141268,Blue shark,Prionace glauca,SPOT,Larry,13,10,2015,267,M,adult,Blue,N
,,,,,,,,,,,,
141270,Blue shark,Prionace glauca,SPOT,Thomas,21,10,2015,274,M,adult,Blue,N
,,,,,,,,,,,,
165291,Blue shark,Prionace glauca,SPOT,Merlin,3,11,2017,239,M,mature,Blue,N
,,,,,,,,,,,,
165292,Blue shark,Prionace glauca,SPOT,Seamus,3,11,2017,226,M,mature,Blue,N
,,,,,,,,,,,,
165294,Blue shark,Prionace glauca,SPOT,Duke,3,11,2017,241,M,mature,Blue,N
,,,,,,,,,,,,
165927,Blue shark,Prionace glauca,SPOT,MacAttack,18,10,2016,312,M,adult,Blue,N
,,,,,,,,,,,,
165928,Blue shark,Prionace glauca,SPOT,Triton,18,10,2016,290,M,adult,Blue,N
,,,,,,,,,,,,
141267,Shortfin mako shark,Isurus oxyrinchus,SPOT,Oscar,15,10,2015,234,M,adult,Red,N
,,,,,,,,,,,,
165290,Shortfin mako shark,Isurus oxyrinchus,SPOT,Yinzer,3,11,2017,208,M,mature,Red,N
,,,,,,,,,,,,
165293,Shortfin mako shark,Isurus oxyrinchus,SPOT,Errol Finn,1,11,2017,185,M,mature,Red,N
,,,,,,,,,,,,
163579,Porbeagle,Lamna nasus,SPOT,Chilly,3,11,2017,213,F,adult,Purple,N
,,,,,,,,,,,,
176749,Blue shark,Prionace glauca,SPOT,Patchouli,2,8,2018,206,M,adult,Blue,N
,,,,,,,,,,,,
176754,Tiger shark,Galeocerdo cuvier,SPOT,Rainbow,20,11,2018,263,F,adult,Pink,Y
,,,,,,,,,,,,
172014,Porbeagle,Lamna nasus,SPOT,Marilyn,27,7,2018,253,F,mature,Purple,Y
,,,,,,,,,,,,
171617,Porbeagle,Lamna nasus,SPOT,Goose,27,7,2018,240,F,mature,Purple,Y
,,,,,,,,,,,,
176746,Sandbar,Carcharhinus obscurus,SPOT,Sansa,3,9,2018,223,F,mature,Green,Y
,,,,,,,,,,,,
171619,Tiger,Galeocerdo cuvier,SPOT,Mabel,2,6,18,298,F,mature,Pink,Y
,,,,,,,,,,,,
176745,Sandbar,Carcharhinus obscurus,SPOT,Arya,3,9,18,200,F,adult,Green,Y
,,,,,,,,,,,,
176750,Blue,Prionace glauca,SPOT,Izayah,2,8,18,195,F,adult,Blue,N
,,,,,,,,,,,,
176751,Tiger,Galeocerdo cuvier,SPOT,Miss Frizzle,8,1,19,340,F,mature,Pink,Y
,,,,,,,,,,,,
176752,Tiger,Galeocerdo cuvier,SPOT,Steph,12,1,19,285,F,mature,Pink,Y
,,,,,,,,,,,,
176755,Tiger,Galeocerdo cuvier,SPOT,Mia,8,1,19,294,F,mature,Pink,Y
,,,,,,,,,,,,
176756,Tiger,Galeocerdo cuvier,SPOT,Moana,8,1,19,359,F,mature,Pink,Y
,,,,,,,,,,,,
181740,Tiger,Galeocerdo cuvier,PAT,Estella,21,5,19,276,F,adult,Pink,N
,,,,,,,,,,,,
181741,Tiger,Galeocerdo cuvier,PAT,Arlyne,24,5,19,304,F,mature,Pink,N
